['管仲', [-725, -645]]
['沈淑', [1702, 1730]]
['姚範', [1702, 1771]]
['秦蕙田', [1702, 1764]]
['齊召南', [1703, 1768]]
['全祖望', [1705, 1755]]
['高晉', [1707, 1778]]
['庫勒納', [1708]]
['舒赫德', [1710, 1777]]
['趙一清', [1711, 1764]]
['嵇璜', [1711, 1794]]
['于敏中', [1714, 1779]]
['曹雪芹', [1715]]
['袁枚', [1716, 1797]]
['阿桂', [1717, 1797]]
['盛百二', [1720]]
['孫士毅', [1720, 1796]]
['王鳴盛', [1722, 1797]]
['傅恒', [1722, 1770]]
['梁同書', [1723, 1815]]
['梁國治', [1723, 1786]]
['紀昀', [1724, 1805]]
['戴震', [1724, 1777]]
['蔣士銓', [1725, 1785]]
['孔繼汾', [1725, 1786]]
['趙翼', [1727, 1814]]
['阮葵生', [1727, 1789]]
['錢大昕', [1728, 1804]]
['陳本禮', [1729, 1818]]
['王初桐', [1729, 1821]]
['余廷燦', [1729, 1798]]
['吳省欽', [1729, 1803]]
['吳蘭庭', [1730, 1801]]
['李文藻', [1730, 1778]]
['汪輝祖', [1730, 1807]]
['王文治', [1730, 1802]]
['畢沅', [1730, 1797]]
['嚴長明', [1731, 1787]]
['顧光旭', [1731, 1797]]
['彭元瑞', [1731, 1803]]
['姚鼐', [1732, 1815]]
['翁方綱', [1733, 1818]]
['段玉裁', [1735, 1815]]
['桂馥', [1736, 1805]]
['孫希旦', [1736, 1784]]
['慶桂', [1737, 1816]]
['丁杰', [1738, 1807]]
['章學誠', [1738, 1801]]
['劉謹之', [1739, 1787]]
['彭際清', [1740, 1796]]
['彭紹升', [1740, 1796]]
['董誥', [1740, 1818]]
['沈起鳳', [1741]]
['秦瀛', [1743, 1821]]
['汪志伊', [1743, 1818]]
['邵晉涵', [1743, 1796]]
['錢大昭', [1744, 1813]]
['永瑢', [1744, 1790]]
['梁玉繩', [1744, 1792]]
['汪中', [1745, 1794]]
['吳錫麒', [1746, 1818]]
['洪亮吉', [1746, 1809]]
['徐本', [1747]]
['百齡', [1748, 1816]]
['黄景仁', [1749, 1783]]
['吳熊光', [1750, 1833]]
['李鼎元', [1750, 1805]]
['伯麟', [1750, 1823]]
['和珅', [1750, 1799]]
['莊述祖', [1751, 1816]]
['陳端生', [1751, 1796]]
['松筠', [1752, 1835]]
['鐵保', [1752, 1824]]
['法式善', [1753, 1813]]
['楊芳燦', [1753, 1815]]
['唐仲冕', [1753, 1827]]
['魯曾煜', [1753]]
['楊鳳苞', [1754, 1816]]
['石韞玉', [1755, 1837]]
['范照藜', [1755, 1837]]
['繆公恩', [1756, 1841]]
['郝懿行', [1757, 1825]]
['凌廷堪', [1757, 1809]]
['胡克家', [1757, 1816]]
['長齡', [1758, 1838]]
['姚文田', [1758, 1827]]
['吳鞠通', [1758, 1836]]
['嚴如熤', [1759, 1826]]
['鈕樹玉', [1760, 1827]]
['曾燠', [1760, 1831]]
['劉鳳誥', [1760, 1830]]
['孫原湘', [1760, 1829]]
['嚴可均', [1762, 1843]]
['焦循', [1763, 1820]]
['那彥成', [1764, 1833]]
['李富孫', [1764, 1843]]
['阮元', [1764, 1849]]
['洪頤煊', [1765, 1837]]
['王引之', [1766, 1834]]
['顧廣圻', [1766, 1835]]
['郭麐', [1767, 1831]]
['陳用光', [1768, 1835]]
['周中孚', [1768, 1821]]
['張廷濟', [1768, 1848]]
['劉沅', [1768, 1855]]
['王清任', [1768, 1831]]
['潘世恩', [1769, 1854]]
['李兆洛', [1769, 1841]]
['查揆', [1770, 1834]]
['常紀', [1771]]
['英和', [1771, 1840]]
['陳壽祺', [1771, 1834]]
['陸繼輅', [1772]]
['陶樑', [1772, 1857]]
['方東樹', [1772, 1851]]
['吳榮光', [1773, 1843]]
['林伯桐', [1773, 1844]]
['嚴元照', [1773, 1817]]
['林春溥', [1775, 1862]]
['梁章鉅', [1775, 1849]]
['包世臣', [1775, 1855]]
['鄧廷楨', [1776, 1846]]
['胡承珙', [1776, 1832]]
['劉逢祿', [1776, 1829]]
['黃本驥', [1780, 1856]]
['莊仲方', [1780, 1857]]
['徐松', [1781, 1848]]
['關天培', [1781, 1841]]
['胡培翬', [1782, 1849]]
['馬瑞辰', [1782, 1853]]
['穆彰阿', [1782, 1856]]
['馮登府', [1783, 1841]]
['姚元之', [1783, 1852]]
['賀長齡', [1785, 1848]]
['姚瑩', [1785, 1853]]
['林則徐', [1785, 1850]]
['汪喜孫', [1786, 1848]]
['杜受田', [1788, 1852]]
['黄式三', [1789, 1862]]
['吳蘭修', [1789, 1839]]
['劉文淇', [1789, 1854]]
['錢泰吉', [1791, 1863]]
['季芝昌', [1791, 1860]]
['劉寶楠', [1791, 1855]]
['姚配中', [1792, 1844]]
['吳振棫', [1792, 1870]]
['龔自珍', [1792, 1841]]
['劉喜海', [1793, 1852]]
['丁晏', [1794, 1875]]
['魏源', [1794, 1857]]
['汪文臺', [1796, 1844]]
['李星沅', [1797, 1851]]
['何紹基', [1799, 1873]]
['吳讓之', [1799, 1870]]
['王柏心', [1799, 1873]]
['夏燮', [1800, 1875]]
['戴熙', [1801, 1860]]
['陸以湉', [1802, 1865]]
['鄭珍', [1806, 1864]]
['花沙納', [1806, 1859]]
['張文虎', [1808, 1885]]
['陳喬樅', [1809, 1869]]
['馮桂芬', [1809, 1874]]
['陳澧', [1810, 1882]]
['邵懿辰', [1810, 1861]]
['徐鼒', [1810, 1862]]
['文廉', [1810, 1870]]
['董恂', [1810, 1892]]
['莫友芝', [1811, 1871]]
['金錫齡', [1811, 1896]]
['曾國藩', [1811, 1872]]
['載齡', [1812, 1883]]
['胡林翼', [1812, 1861]]
['盛康', [1814, 1902]]
['王拯', [1815, 1876]]
['劉蓉', [1816, 1873]]
['許瑤光', [1817, 1881]]
['多隆阿', [1818, 1864]]
['郭嵩焘', [1818, 1891]]
